region,seed,team,record,wins,losses,win_pct
East,1,Duke,32-2,32.0,2.0,0.9411764705882353
East,16,Siena,23-11,23.0,11.0,0.6764705882352942
East,8,Ohio St.,21-12,21.0,12.0,0.6363636363636364
East,9,TCU,22-11,22.0,11.0,0.6666666666666666
East,5,St. John's,28-6,28.0,6.0,0.8235294117647058
East,12,Northern Iowa,23-12,23.0,12.0,0.6571428571428571
East,4,Kansas,23-10,23.0,10.0,0.696969696969697
East,13,Cal Baptist,25-8,25.0,8.0,0.7575757575757576
East,6,Louisville,23-10,23.0,10.0,0.696969696969697
East,11,South Florida,25-8,25.0,8.0,0.7575757575757576
East,3,Michigan St.,25-7,25.0,7.0,0.78125
East,14,North Dakota St.,27-7,27.0,7.0,0.7941176470588235
East,7,UCLA,23-11,23.0,11.0,0.6764705882352942
East,10,UCF,21-11,21.0,11.0,0.65625
East,2,UConn,29-5,29.0,5.0,0.8529411764705882
East,15,Furman,22-12,22.0,12.0,0.6470588235294118
West,1,Arizona,32-2,32.0,2.0,0.9411764705882353
West,16,Long Island,24-10,24.0,10.0,0.7058823529411765
West,8,Villanova,24-8,24.0,8.0,0.75
West,9,Utah St.,28-6,28.0,6.0,0.8235294117647058
West,5,Wisconsin,24-10,24.0,10.0,0.7058823529411765
West,12,High Point,30-4,30.0,4.0,0.8823529411764706
West,4,Arkansas,26-8,26.0,8.0,0.7647058823529411
West,13,Hawaii,24-8,24.0,8.0,0.75
West,6,BYU,23-11,23.0,11.0,0.6764705882352942
West,11,Texas,18-14,18.0,14.0,0.5625
West,3,Gonzaga,30-3,30.0,3.0,0.9090909090909091
West,14,Kennesaw St.,21-13,21.0,13.0,0.6176470588235294
West,7,Miami (FL),25-8,25.0,8.0,0.7575757575757576
West,10,Missouri,20-12,20.0,12.0,0.625
West,2,Purdue,27-8,27.0,8.0,0.7714285714285715
West,15,Queens (N.C.),21-13,21.0,13.0,0.6176470588235294
South,1,Florida,26-7,26.0,7.0,0.7878787878787878
South,16,Prairie View A&M,18-17,18.0,17.0,0.5142857142857142
South,8,Clemson,24-10,24.0,10.0,0.7058823529411765
South,9,Iowa,21-12,21.0,12.0,0.6363636363636364
South,5,Vanderbilt,26-8,26.0,8.0,0.7647058823529411
South,12,McNeese,28-5,28.0,5.0,0.8484848484848485
South,4,Nebraska,26-6,26.0,6.0,0.8125
South,13,Troy,22-11,22.0,11.0,0.6666666666666666
South,6,North Carolina,24-8,24.0,8.0,0.75
South,11,VCU,27-7,27.0,7.0,0.7941176470588235
South,3,Illinois,24-8,24.0,8.0,0.75
South,14,Penn,18-11,18.0,11.0,0.6206896551724138
South,7,Saint Mary's,27-5,27.0,5.0,0.84375
South,10,Texas A&M,21-11,21.0,11.0,0.65625
South,2,Houston,28-6,28.0,6.0,0.8235294117647058
South,15,Idaho,21-14,21.0,14.0,0.6
Midwest,1,Michigan,31-3,31.0,3.0,0.9117647058823529
Midwest,16,Howard,24-10,24.0,10.0,0.7058823529411765
Midwest,8,Georgia,22-10,22.0,10.0,0.6875
Midwest,9,Saint Louis,28-5,28.0,5.0,0.8484848484848485
Midwest,5,Texas Tech,22-10,22.0,10.0,0.6875
Midwest,12,Akron,29-5,29.0,5.0,0.8529411764705882
Midwest,4,Alabama,23-9,23.0,9.0,0.71875
Midwest,13,Hofstra,24-10,24.0,10.0,0.7058823529411765
Midwest,6,Tennessee,22-11,22.0,11.0,0.6666666666666666
Midwest,11,Miami (OH),31-1,31.0,1.0,0.96875
Midwest,3,Virginia,29-5,29.0,5.0,0.8529411764705882
Midwest,14,Wright St.,23-11,23.0,11.0,0.6764705882352942
Midwest,7,Kentucky,21-13,21.0,13.0,0.6176470588235294
Midwest,10,Santa Clara,26-8,26.0,8.0,0.7647058823529411
Midwest,2,Iowa St.,27-7,27.0,7.0,0.7941176470588235
Midwest,15,Tennessee St.,23-9,23.0,9.0,0.71875
